Unnamed: 0,dm_1,foto_1,straaling_1,temp_1,lai_1,meldug_1,lai_0,dm_2,foto_2,straaling_2,temp_2,lai_2,meldug_2,dm_3,foto_3,straaling_3,temp_3,lai_3,meldug_3,dm_4,foto_4,straaling_4,temp_4,lai_4,meldug_4,mikro_1,middel_1,mikro_2,middel_2,mikro_3,middel_3,nedboer_1,nedboer_2,nedboer_3,udbytte
16,5,5,1,1,5,2,3,11,8,2,0,5,0,14,8,1,2,4,0,12,3,1,1,2,0,2,0,0,0,1,0,1,2,1,11
17,7,1,0,1,1,5,2,0,2,2,0,3,1,8,3,1,1,2,2,13,4,0,1,0,1,0,2,3,1,1,3,0,0,2,5
18,9,5,1,3,2,1,2,12,4,0,0,2,0,15,1,1,2,0,0,8,2,1,0,0,0,3,0,0,0,3,2,2,1,1,7
19,2,1,1,2,0,5,0,1,1,1,0,2,1,8,1,0,2,1,1,3,6,0,0,0,0,2,0,2,1,3,1,1,0,2,12
20,10,3,0,2,5,6,4,4,0,0,3,5,3,16,9,1,2,4,4,14,8,1,0,2,2,1,0,1,1,2,1,1,1,0,13
21,11,4,1,1,4,4,2,2,9,0,0,0,0,2,1,1,1,3,0,0,6,0,0,1,0,1,2,0,3,1,0,1,1,2,0
22,9,6,1,1,1,0,1,11,4,0,0,1,0,17,10,0,2,1,0,10,4,0,1,0,0,0,2,3,1,1,2,0,0,2,12
23,12,2,0,0,1,5,4,2,4,2,0,3,1,18,2,1,0,2,5,15,9,2,0,2,0,0,2,1,1,3,0,2,2,1,14
24,9,6,2,1,2,5,2,8,5,2,0,2,2,17,11,1,2,0,0,16,4,1,1,0,0,3,1,1,0,1,2,0,1,2,15
25,13,7,1,1,6,6,0,13,10,2,3,6,4,19,12,1,0,4,0,17,10,0,0,2,0,3,1,1,2,1,0,0,2,2,16
26,2,0,0,2,3,2,4,14,5,3,0,3,1,5,11,0,2,1,0,7,1,1,2,0,0,0,2,0,2,1,2,0,2,1,6
27,4,3,2,3,2,0,4,11,2,0,2,2,4,20,0,0,2,1,1,13,4,0,0,0,0,1,3,2,0,3,0,1,0,2,17
28,5,4,0,1,3,5,3,8,4,2,2,3,2,1,3,1,0,2,5,18,1,0,1,0,0,0,1,2,1,1,0,2,0,1,18
29,14,8,3,1,2,4,4,15,1,1,2,2,0,18,7,2,1,0,0,2,4,0,2,0,0,2,1,0,0,1,0,2,2,1,2
30,2,0,0,3,1,4,1,14,5,2,1,1,0,21,1,1,2,1,0,3,4,2,0,0,0,0,0,2,1,3,2,0,1,2,2
31,4,3,0,2,5,6,4,16,11,0,2,6,3,22,13,1,0,4,0,17,11,1,0,2,0,1,2,1,2,2,0,1,2,0,16
32,15,9,0,1,6,6,2,16,1,0,0,6,2,23,14,1,2,5,5,19,10,1,0,2,0,0,2,0,1,3,3,0,2,1,19
33,7,1,3,1,3,5,1,4,1,2,2,6,6,24,14,0,2,5,5,20,9,1,1,2,0,3,3,1,2,3,1,2,2,1,20
34,9,5,1,1,3,7,1,1,4,2,3,3,0,4,4,1,0,2,0,21,12,1,1,0,0,2,2,1,0,1,2,1,2,1,17
35,7,4,1,1,2,1,2,0,2,0,0,4,5,3,0,2,2,0,0,22,5,1,0,0,0,1,1,1,2,3,0,1,1,2,21
36,8,6,1,2,1,3,1,1,2,2,0,1,0,10,5,1,2,1,0,2,2,1,0,0,0,2,1,0,1,2,3,1,2,0,4
37,11,5,1,1,0,4,2,11,0,0,2,4,0,2,11,0,1,3,0,23,13,2,0,1,0,0,2,1,1,1,1,0,2,2,22
38,10,3,2,1,1,5,4,17,5,2,0,3,3,25,7,0,2,2,0,6,1,1,2,0,0,3,2,3,3,2,1,0,0,2,5
39,11,4,0,3,2,1,4,18,3,3,1,1,3,2,2,0,0,2,0,16,6,0,0,0,1,1,1,0,3,1,2,2,1,1,15
40,11,4,1,2,4,4,0,19,4,0,2,0,0,25,15,1,0,3,0,10,12,1,1,1,0,3,2,0,2,3,3,0,1,2,9
41,11,5,1,2,4,8,0,18,6,2,0,4,0,13,11,0,2,0,0,7,1,1,2,0,0,2,1,1,0,1,0,2,2,2,6
42,4,10,2,0,5,6,1,13,12,2,3,7,6,26,14,1,0,5,6,24,11,0,1,2,0,0,3,1,0,3,1,0,2,1,23
43,5,5,1,2,4,1,0,12,0,0,0,4,5,15,2,1,1,0,5,25,2,0,2,0,0,1,1,1,1,3,1,0,1,1,24
44,11,4,1,2,0,0,2,18,6,2,1,2,0,21,7,0,2,0,0,26,7,1,2,1,0,2,0,0,1,3,3,1,1,2,25
45,8,3,0,3,6,6,2,20,13,2,0,7,6,26,14,1,0,5,4,27,9,1,1,2,3,1,3,3,1,0,1,1,1,0,26
46,5,5,1,3,1,5,1,15,5,3,2,1,5,25,7,0,0,1,0,5,4,1,0,0,0,1,0,2,0,1,0,0,0,2,4
47,8,6,0,3,5,6,4,10,8,0,2,5,7,27,12,0,0,4,7,28,5,0,0,2,4,3,0,1,0,0,2,0,2,2,27
48,16,1,0,2,0,3,0,15,2,0,2,4,5,5,10,0,0,0,2,29,5,1,0,0,0,0,2,2,1,1,1,0,0,2,9
49,17,10,2,1,5,0,3,21,1,2,2,6,8,28,9,3,2,4,7,30,9,1,0,2,0,3,3,1,3,3,0,0,1,2,28
50,2,1,0,2,0,4,2,22,9,2,2,4,0,29,15,0,0,0,0,26,4,1,2,1,0,3,1,3,0,3,0,0,0,2,25
51,7,4,0,1,0,1,2,22,9,2,2,4,2,30,16,0,0,0,0,31,1,2,2,0,0,2,1,1,3,0,2,1,2,0,29
52,9,5,1,1,0,3,2,17,2,0,0,4,0,10,5,0,0,3,0,0,7,0,2,1,0,1,2,3,2,0,0,1,0,0,30
53,8,5,2,0,4,3,2,19,3,2,3,4,0,17,5,0,2,0,0,32,0,1,1,0,0,2,1,2,2,1,0,1,0,2,0
54,3,3,1,1,5,5,3,12,2,2,0,5,7,31,2,1,2,2,5,22,6,0,1,0,0,0,3,2,0,3,3,0,1,2,21
55,11,5,1,1,2,8,4,14,6,2,0,2,0,3,7,1,1,0,0,33,5,0,2,0,0,2,2,1,3,1,2,1,1,2,31
56,18,11,0,1,0,8,2,23,9,2,1,4,0,5,1,1,0,0,0,16,2,1,0,0,0,0,0,3,2,1,0,2,0,2,15
57,9,6,1,1,3,1,1,24,1,0,0,5,7,4,7,0,0,2,1,8,4,2,0,0,3,2,3,1,3,1,2,1,1,1,7
58,3,3,2,1,2,3,4,0,9,2,2,4,0,10,15,0,0,0,0,16,4,1,0,0,0,2,0,2,1,2,0,2,0,2,15
59,9,6,2,1,4,3,0,12,4,0,3,4,7,20,15,0,0,0,3,33,0,2,0,0,0,3,3,1,2,0,3,0,1,2,31
60,4,3,1,1,3,7,3,4,4,2,0,1,0,32,3,1,1,1,0,8,6,2,0,0,0,0,1,3,1,1,1,0,1,1,7
61,1,0,0,1,2,5,2,19,0,0,0,1,4,15,4,1,0,2,3,22,6,2,2,0,1,0,3,2,0,2,2,0,0,2,21
62,9,4,1,1,2,7,4,18,6,2,2,2,5,6,0,1,0,0,0,32,4,1,0,0,0,3,3,3,3,3,0,0,0,1,6
63,11,5,1,1,2,3,4,6,5,2,0,2,0,0,11,1,0,0,0,16,4,1,2,0,0,0,0,2,1,0,0,2,0,2,15
64,3,3,2,1,2,4,4,25,4,0,0,2,0,1,15,0,0,0,0,25,3,0,0,0,0,0,0,2,2,1,2,0,0,2,24
65,2,1,0,1,0,3,2,19,0,0,0,4,1,13,10,0,2,0,0,34,12,0,2,0,0,3,1,3,0,1,2,0,0,2,25
66,11,5,1,2,4,3,0,0,3,2,3,0,0,13,5,1,0,3,0,9,14,2,1,1,0,2,1,1,2,3,2,1,1,1,8
67,18,11,0,2,0,0,2,5,4,0,0,4,5,13,0,1,2,0,0,26,12,0,0,0,0,1,1,0,0,1,2,2,2,1,25
68,11,5,0,1,1,2,2,12,0,0,2,3,7,33,13,0,0,4,7,35,10,0,0,2,1,2,3,2,1,3,1,1,1,2,32
69,19,9,1,3,6,6,2,26,14,3,2,7,7,34,14,1,2,5,1,27,9,1,1,2,0,1,1,2,3,0,3,2,1,0,26
70,0,2,0,2,0,0,2,18,4,0,0,2,0,10,15,0,0,1,0,2,1,1,1,0,2,3,2,0,1,1,2,0,1,2,2
71,3,3,1,1,3,5,1,10,8,0,1,5,2,35,13,0,0,4,0,36,10,0,0,2,0,1,1,3,0,1,1,2,0,2,32
72,9,5,0,3,0,7,2,19,2,0,3,2,0,7,7,2,0,1,0,2,12,0,0,0,0,2,0,1,3,1,0,2,1,1,2
73,0,2,0,1,0,1,2,14,5,0,0,0,2,0,15,1,0,0,0,0,12,0,1,0,0,1,1,3,1,3,2,1,0,2,30
74,11,5,1,1,1,0,1,15,2,2,2,1,0,7,1,0,0,1,0,1,5,0,0,0,0,2,1,1,3,1,2,1,2,1,1
75,11,5,1,0,0,3,2,8,2,2,0,4,0,25,7,0,1,0,0,33,4,0,0,0,0,0,2,0,3,2,3,0,1,0,31
76,7,4,0,1,1,4,1,27,9,2,1,1,0,29,0,0,2,1,0,37,6,2,0,0,0,0,1,0,1,3,2,0,2,2,29
77,5,1,1,1,2,8,2,12,0,0,3,1,0,15,2,1,2,2,0,1,4,1,0,0,0,3,0,2,2,2,2,0,0,2,1
78,11,4,0,1,1,3,1,15,5,2,0,3,8,36,17,1,0,2,1,38,3,1,2,0,0,1,3,0,3,1,3,2,1,1,33
79,17,10,1,1,6,6,2,28,10,2,0,6,4,37,18,0,2,5,3,39,9,0,1,2,0,2,2,2,2,1,0,2,1,1,34
80,10,3,2,0,2,1,2,11,0,0,2,3,8,32,4,1,0,2,3,38,5,1,1,0,0,2,3,3,2,3,0,1,0,1,33
81,1,0,1,1,0,8,2,3,6,3,3,4,0,38,0,3,1,3,0,23,12,0,0,0,0,2,1,2,0,1,0,1,1,2,35
82,8,6,1,2,2,5,0,25,8,2,2,5,6,33,13,1,1,4,5,35,9,0,2,2,0,2,3,2,3,0,0,1,0,2,36
83,18,11,3,1,3,2,2,22,5,2,2,3,5,0,1,1,0,2,2,2,5,1,0,0,0,2,0,0,1,1,1,2,1,2,2
84,7,1,3,1,1,7,1,18,5,2,0,1,5,10,7,0,0,1,0,22,2,1,0,0,0,2,3,3,1,2,1,1,0,0,21
85,7,1,0,1,2,3,2,18,5,0,0,2,1,2,2,1,1,1,7,5,4,1,0,0,2,0,3,1,1,0,0,0,1,0,4
86,11,5,1,1,1,0,4,12,0,0,3,1,0,25,0,0,1,1,0,7,7,0,1,0,0,2,1,2,1,0,2,2,1,0,6
87,3,3,2,1,3,6,2,29,8,0,0,5,7,39,4,3,0,4,2,40,0,1,1,0,0,2,1,1,0,1,0,2,1,1,37
88,20,9,2,1,6,6,1,30,1,0,2,6,1,40,19,2,0,4,0,41,3,1,1,2,0,2,2,1,0,0,3,1,2,2,38
89,4,3,2,2,2,5,4,25,2,0,2,2,1,4,2,2,1,1,0,8,4,0,0,0,0,3,0,0,0,3,3,0,1,1,18
90,21,12,2,1,7,6,1,31,13,0,1,7,1,34,20,1,0,5,0,27,9,1,1,2,0,2,0,0,3,1,2,1,2,2,26
91,2,1,1,1,1,0,1,22,3,2,0,1,0,5,15,1,0,1,0,42,0,0,0,0,0,1,2,0,2,1,3,1,1,1,39
92,17,10,2,1,0,0,2,11,5,2,0,2,4,31,1,1,1,1,0,43,5,0,1,0,0,2,3,2,2,1,3,2,0,1,24
93,0,2,0,1,2,4,2,3,3,0,0,2,0,5,15,1,1,1,0,34,0,0,0,0,0,0,1,0,0,0,2,2,2,0,39
94,2,0,0,3,0,5,2,0,4,0,3,0,0,3,0,0,1,3,0,42,12,0,1,0,0,3,0,1,3,1,3,0,1,1,30
95,5,5,1,2,2,4,4,18,3,2,2,4,5,6,0,0,0,0,0,7,4,0,0,0,0,1,3,2,3,3,2,2,1,2,6
96,5,4,0,3,1,0,1,17,4,2,0,3,5,32,8,2,1,2,0,18,7,2,1,0,0,3,0,3,0,0,0,2,0,0,18
97,2,1,1,1,1,1,4,15,4,0,2,1,1,21,7,1,1,1,0,2,1,0,2,0,0,2,2,1,2,1,1,1,1,2,2
98,11,5,0,2,3,5,1,11,0,0,0,3,0,41,2,0,0,2,0,40,5,1,1,0,0,1,2,0,3,3,2,1,2,1,40
99,1,0,0,1,0,3,2,18,5,0,2,4,0,6,11,3,0,0,0,34,6,0,0,0,0,1,0,1,2,1,3,1,1,2,39
100,10,3,1,1,5,2,1,21,10,3,0,6,4,42,20,1,0,5,2,17,15,0,1,2,3,3,2,2,2,0,2,2,0,2,16
101,4,10,0,1,6,6,1,32,1,2,1,6,7,43,13,3,0,4,0,44,9,1,0,2,0,1,1,0,3,3,3,2,1,2,41
102,9,5,1,2,0,8,2,17,2,0,2,0,0,17,10,1,2,3,0,0,12,0,0,1,0,1,0,0,1,3,3,2,2,0,0
103,3,3,0,1,5,4,3,29,8,0,2,5,0,28,8,0,0,4,0,45,15,1,1,2,0,3,2,2,3,3,1,0,0,2,42
104,9,5,1,1,3,5,1,10,1,1,0,3,1,31,0,0,2,1,3,13,0,0,0,0,0,1,2,0,1,2,2,1,2,0,17
105,16,4,1,1,3,2,2,19,0,0,2,3,2,7,1,3,0,2,0,13,2,1,0,0,0,1,1,0,2,1,2,2,2,2,17
106,11,5,1,2,2,5,2,14,6,3,0,2,3,17,7,1,1,1,2,2,1,1,2,0,1,2,2,3,1,0,2,0,0,2,2
107,4,10,1,0,5,2,1,24,0,0,1,5,1,1,15,0,0,2,0,18,2,0,1,0,0,0,2,0,2,1,0,0,2,1,18
108,11,4,0,3,3,2,2,11,0,2,2,3,4,41,2,0,2,2,5,15,3,1,0,0,2,1,0,1,0,3,3,0,2,1,14
109,6,2,0,1,4,3,2,7,9,0,1,0,0,29,15,1,0,6,0,31,6,1,0,1,0,0,2,0,3,1,1,0,1,1,22
110,7,4,1,1,2,7,1,15,4,0,0,1,4,21,15,0,0,1,3,16,6,0,1,0,1,1,3,1,0,3,2,1,1,1,15
111,8,6,2,1,2,4,2,11,0,1,1,1,0,1,7,1,0,1,0,8,5,0,2,0,0,1,2,1,2,1,1,1,1,2,7
112,10,6,0,3,1,0,1,11,2,2,3,1,5,4,2,1,0,1,0,8,0,1,1,0,0,3,2,1,0,1,3,0,2,2,18
113,16,4,1,1,1,7,4,27,9,3,0,1,0,13,15,0,0,1,0,16,1,0,0,0,0,2,1,1,1,1,2,2,2,1,6
114,16,4,1,0,3,5,1,12,8,0,0,5,5,44,9,0,1,4,2,46,9,0,2,2,0,2,2,0,1,0,1,0,2,2,43
115,22,13,3,1,2,8,1,7,5,2,2,2,0,45,7,1,0,1,0,47,12,0,0,0,0,1,0,1,0,0,0,2,1,0,44
116,9,5,1,1,1,0,1,8,2,2,2,1,0,20,1,1,1,1,0,13,1,1,0,0,0,0,1,0,3,1,0,0,1,2,5
117,2,0,1,0,2,1,2,6,2,2,3,2,1,0,0,0,1,1,6,0,12,0,0,0,5,3,0,1,1,0,1,0,2,0,0
118,8,3,2,1,2,7,1,15,3,3,3,4,0,46,16,0,2,0,0,47,0,0,2,0,0,2,1,2,2,3,0,2,0,2,44
119,3,3,2,0,3,1,1,25,0,2,3,3,5,31,15,0,0,2,1,13,0,0,2,0,6,0,1,1,1,0,2,0,2,0,5
120,16,4,1,1,4,7,2,0,2,0,3,4,1,21,15,1,0,1,0,16,12,0,0,0,0,2,3,1,0,3,2,1,2,2,15
121,2,1,0,0,1,5,4,5,5,2,0,1,7,2,2,1,1,2,7,5,1,0,0,0,2,2,3,0,1,0,1,1,1,2,4
122,2,0,1,0,2,1,4,15,4,0,2,1,0,25,1,1,0,1,0,10,12,0,0,0,0,0,1,1,2,0,3,0,1,0,12
123,7,1,1,1,2,1,2,8,0,0,2,2,0,20,2,1,0,1,0,21,2,1,0,0,0,3,0,3,2,2,2,0,0,2,17
124,6,2,0,1,2,4,2,33,7,2,1,2,0,47,0,1,2,0,0,37,1,0,1,0,0,3,3,0,2,2,2,0,0,2,29
125,18,11,3,1,3,3,3,15,1,0,2,5,0,39,13,1,2,4,0,48,3,0,1,2,0,2,1,2,0,1,1,2,0,2,45
126,10,3,1,2,3,2,4,34,12,0,1,7,6,48,14,1,0,5,5,49,10,1,1,2,0,3,3,0,2,3,1,2,2,2,23
127,16,1,1,1,0,4,2,6,5,2,0,0,0,29,10,1,0,6,0,50,7,0,0,1,0,3,2,0,2,3,2,0,0,1,35
128,9,5,1,2,1,8,3,12,0,0,0,1,0,21,11,0,2,1,3,10,4,1,0,0,0,1,2,1,1,3,0,2,2,1,12
129,3,3,0,1,5,2,4,29,1,0,2,5,1,4,7,1,2,2,0,22,7,2,1,0,0,1,0,1,2,0,1,2,1,0,21
130,0,2,3,2,0,4,2,27,5,2,0,2,0,5,15,1,2,1,0,16,1,1,2,0,0,0,1,0,3,3,2,0,2,2,15
131,3,6,2,1,1,2,2,25,4,0,2,1,4,4,2,0,1,2,2,51,2,1,1,0,0,0,3,1,0,1,3,0,2,1,40
132,10,6,1,1,2,1,2,15,3,3,2,2,1,13,5,1,0,0,1,26,12,1,1,0,0,1,2,0,1,3,1,2,2,1,25
133,1,0,0,1,3,2,4,17,8,2,2,5,8,15,3,1,0,2,5,2,7,0,1,0,1,0,3,0,1,1,1,0,1,2,4
134,23,8,3,2,0,7,2,7,5,2,1,4,0,49,10,0,0,0,0,50,1,1,0,0,0,2,3,3,0,1,3,2,0,2,35
135,3,3,2,1,1,1,1,25,4,2,0,3,0,36,3,1,0,2,0,43,1,0,2,0,0,2,2,3,2,3,3,1,1,1,24
136,21,12,0,1,7,6,2,31,13,0,0,7,0,50,21,3,1,5,0,52,10,1,1,2,0,0,0,3,1,1,3,0,0,1,19
137,10,6,0,1,3,0,3,25,0,0,3,3,0,41,1,0,0,2,0,12,9,0,0,2,0,2,0,2,0,1,3,2,0,1,45
138,9,5,0,1,5,2,1,25,8,2,2,5,2,20,15,0,0,2,0,21,1,0,2,0,0,1,2,1,3,0,2,2,0,0,17
139,20,7,3,3,6,6,1,26,14,3,0,7,6,50,21,1,0,5,7,24,9,1,1,2,1,3,3,0,0,0,0,0,2,0,26
140,6,2,0,1,4,7,2,2,4,0,2,0,5,13,11,0,1,0,0,53,0,1,1,0,0,0,3,1,2,0,1,0,0,0,46
141,5,5,0,1,5,2,1,24,10,0,2,6,8,51,19,1,0,4,2,46,3,2,0,2,0,2,3,0,3,1,1,2,2,2,43
142,5,4,1,3,4,3,0,0,5,2,0,0,0,45,10,0,2,3,0,7,2,0,2,0,0,1,0,1,2,2,2,2,2,2,6
143,0,2,0,0,1,2,0,0,8,2,0,5,8,16,13,2,0,4,5,46,9,0,0,2,0,0,3,0,0,2,0,0,2,2,43
144,1,0,3,2,2,1,0,14,3,2,2,2,1,0,15,1,0,0,0,33,3,1,0,0,0,0,3,1,3,3,1,0,1,1,31
145,16,4,1,1,1,4,3,0,2,0,0,1,0,21,7,0,0,1,0,16,12,0,0,0,0,2,0,1,3,3,2,1,2,2,15
146,14,11,0,1,2,5,2,15,1,0,2,5,8,12,9,0,0,4,8,12,11,0,0,2,2,1,3,1,1,1,0,1,2,2,11
147,16,1,0,1,2,0,2,17,0,0,2,2,0,7,7,1,0,0,0,5,0,0,0,0,0,0,2,1,0,1,0,0,2,2,4
148,19,7,1,3,6,6,4,31,13,2,0,7,6,34,14,1,0,5,2,24,8,2,1,2,0,1,3,3,3,1,1,1,1,1,23
149,8,6,1,1,1,5,2,25,0,0,0,3,7,32,4,0,2,4,8,45,11,0,0,2,2,2,3,1,1,2,0,1,2,2,42
150,8,6,1,3,3,5,1,12,4,2,2,3,0,36,4,1,0,2,0,1,12,0,2,0,0,3,0,0,3,1,3,2,2,1,1
151,15,14,1,0,7,6,1,31,13,2,2,7,1,34,14,0,0,5,0,24,8,2,0,2,0,2,0,1,0,2,3,1,1,0,23
152,9,5,1,1,0,3,2,19,5,2,0,2,0,21,15,1,2,1,0,13,3,1,2,0,0,3,1,0,0,1,2,0,2,1,5
153,16,4,1,3,2,2,2,6,2,0,2,2,1,0,0,0,0,0,0,37,7,0,1,0,0,3,1,3,0,3,2,0,0,0,29
154,10,3,1,1,5,2,1,17,2,3,0,5,1,31,3,0,0,2,0,4,5,0,1,0,0,0,1,1,2,1,2,0,1,0,7
155,17,10,2,1,0,7,2,24,4,0,2,2,0,25,11,1,0,0,0,33,1,0,2,0,0,0,3,3,1,0,2,0,0,2,31
156,7,4,1,1,0,7,2,15,4,0,2,4,0,18,7,1,0,0,0,21,3,1,0,0,0,0,2,0,3,3,2,0,1,2,17
157,6,0,1,0,1,2,2,6,2,2,0,1,5,7,2,1,0,2,0,54,2,0,2,0,0,2,0,1,2,3,2,2,1,2,47
158,11,5,1,2,0,7,2,1,4,0,2,4,0,18,11,0,1,0,0,16,6,0,1,0,0,2,2,0,2,1,1,1,2,1,15
159,11,5,1,1,2,2,0,2,3,2,2,2,1,10,7,1,0,0,0,2,1,1,2,0,0,3,0,1,0,1,3,0,1,2,4
160,20,7,2,0,5,6,2,21,0,2,2,5,4,51,8,1,1,4,3,41,11,1,0,2,1,0,1,1,3,0,2,2,2,2,38
161,8,6,1,0,1,3,4,1,4,2,0,3,0,4,4,1,0,2,0,51,5,1,1,0,0,0,1,1,0,0,3,2,1,0,40
162,16,4,1,1,2,0,4,0,5,0,0,2,0,20,2,2,0,1,0,6,4,1,2,0,0,3,1,1,1,2,3,2,1,2,5
163,11,5,1,1,2,1,4,18,9,2,0,2,0,5,0,0,2,1,0,26,12,0,0,0,0,0,2,1,2,2,3,0,2,0,25
164,7,4,1,1,2,7,4,19,4,0,3,2,0,18,15,0,0,0,0,21,5,1,0,0,0,2,1,2,2,2,1,1,0,0,47
165,10,6,1,1,0,7,2,15,9,2,0,2,0,0,0,0,0,1,0,29,4,2,0,0,0,3,2,0,3,0,3,0,2,0,9
166,1,1,0,2,3,2,2,15,0,0,0,3,4,12,17,2,0,2,3,40,2,1,0,0,0,1,0,3,0,1,3,1,0,1,37
167,8,6,1,1,3,2,2,15,3,2,2,1,2,20,1,1,2,1,0,6,1,1,0,0,0,2,1,3,3,1,3,1,0,1,5
168,8,6,0,3,3,0,3,12,0,2,2,3,0,41,1,1,0,1,0,6,12,1,1,0,0,1,0,2,0,3,2,1,0,2,5
169,16,4,1,1,1,1,3,3,7,3,1,1,2,13,7,2,0,1,0,34,0,0,0,0,0,1,1,0,2,0,3,2,1,0,39
170,11,5,1,1,2,4,4,8,2,0,0,4,0,2,0,0,1,0,0,6,2,1,1,0,0,2,2,1,1,0,0,2,1,2,5
171,1,0,1,1,4,7,2,14,5,2,0,4,0,21,1,2,2,0,0,33,2,0,0,0,0,0,0,0,2,3,2,0,2,2,31
172,4,3,2,2,0,7,4,15,9,2,0,4,0,2,15,1,0,0,2,42,16,2,1,0,0,0,2,1,1,0,3,0,1,2,30
173,8,6,2,1,1,7,4,0,9,2,0,1,0,18,1,1,0,1,0,33,1,0,1,0,0,2,0,1,3,0,0,1,1,2,31
174,9,5,1,1,2,5,0,1,4,0,0,2,1,41,2,1,2,1,0,25,2,2,0,0,0,2,2,3,0,3,3,1,0,2,3
175,5,4,0,0,3,3,1,17,4,0,1,3,0,31,2,2,0,2,0,4,5,0,2,0,0,2,1,0,3,3,0,2,1,1,3
176,9,6,1,3,1,3,1,19,2,2,1,3,5,36,4,1,1,2,0,8,0,1,1,0,0,1,1,0,0,1,3,0,2,2,7
177,16,4,0,1,5,2,1,25,1,0,3,5,2,52,12,1,2,4,0,35,10,1,1,2,0,3,0,2,3,2,0,2,1,0,36
178,1,0,1,1,2,7,4,5,5,2,2,2,0,46,10,0,2,0,0,26,4,0,1,0,0,3,1,0,0,2,1,0,2,2,46
179,17,10,2,1,3,6,0,29,4,2,0,5,8,53,21,2,0,4,5,55,9,1,0,2,7,0,3,0,1,0,2,0,2,0,16
180,2,0,0,1,2,8,2,15,4,0,0,2,0,6,5,0,2,0,0,32,4,0,2,0,0,1,2,1,1,1,0,1,2,1,0
181,8,6,1,3,0,8,2,6,3,2,2,4,2,6,0,0,1,1,5,29,4,1,0,0,5,2,3,0,1,0,3,2,2,0,9
182,5,4,1,2,0,3,2,0,5,0,3,4,2,17,11,1,2,3,0,37,14,0,2,1,0,0,3,1,0,0,2,0,1,0,29
183,9,5,1,1,2,1,2,1,4,0,2,1,0,12,3,1,0,2,2,21,0,0,0,0,3,1,2,1,1,0,2,1,2,2,17
184,8,5,1,1,3,6,2,1,4,0,1,3,2,31,2,3,0,2,0,56,9,0,1,2,0,0,1,0,0,0,1,0,2,0,48
185,11,4,0,0,3,0,3,8,2,2,3,3,0,7,7,1,2,2,0,43,8,1,2,2,0,2,0,2,0,3,2,1,0,1,37
186,11,4,1,3,0,8,2,15,2,0,2,0,0,45,10,0,0,6,0,9,7,0,1,1,0,1,0,1,2,3,2,1,1,2,49
187,9,6,1,1,3,1,3,19,4,2,2,3,2,41,4,1,2,2,0,1,0,0,1,0,0,2,1,3,1,3,1,1,0,2,1
188,10,3,2,1,1,2,2,0,3,2,1,1,3,20,2,1,2,1,2,3,12,1,1,0,0,1,2,0,0,2,0,2,1,0,12
